GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
digitalnotes,com.group6.digitalnotes.controller,SignupController,330,0,16,0,64,0,17,0,9,0
digitalnotes,com.group6.digitalnotes.controller,LoginController,71,208,6,4,18,38,6,8,3,6
digitalnotes,com.group6.digitalnotes.controller,MainController,656,0,42,0,157,0,48,0,27,0
digitalnotes,com.group6.digitalnotes.dao,NoteDAO,12,147,3,7,7,44,3,7,0,5
digitalnotes,com.group6.digitalnotes.dao,LocalizationDAO,24,160,4,14,3,40,4,12,0,7
digitalnotes,com.group6.digitalnotes.dao,UserDAO,99,24,15,1,24,9,10,2,2,2
digitalnotes,com.group6.digitalnotes.database,DBConnection,3,48,1,3,1,9,2,3,1,2
digitalnotes,com.group6.digitalnotes,App,6,0,0,0,3,0,2,0,2,0
digitalnotes,com.group6.digitalnotes.model,Note,8,40,0,0,4,16,2,6,2,6
digitalnotes,com.group6.digitalnotes.model,User,43,0,0,0,16,0,7,0,7,0
digitalnotes,com.group6.digitalnotes.view,View,60,5,0,0,19,2,4,1,4,1
